               Laboratory of Plant Lipids     Area Percent Report

  Data Path : D:\Roman\2023\Bact\
  Data File : 12_FAMES_01.D                                       
  Acq On    : 22 Feb 2023  16:59
  Operator  : Roman A Sidorov
  Sample    :  
  Misc      : Split 1:1
  ALS Vial  : 1   Sample Multiplier: 1   Samp. Amt.: 1

  Integration Parameters: autoint1.e
  Integrator: ChemStation

  Method    : D:\1\METHODS\HP-88-2022-METHOD_SUP37.M
  Title     :  

  Signal     : TIC: 12_FAMES_01.D\data.ms

 peak  R.T. first  max last  PK   peak      corr.   corr.    % of
   #   min   scan scan scan  TY  height     area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------  ------  -------
  1  11.679   552  632  752 BV 7   83850   7788230   1.11%   0.299%
  2  13.191  1160 1231 1350 VV 7   76941   8474377   1.21%   0.326%
  3  13.591  1350 1390 1522 VV 7   45940   4612502   0.66%   0.177%
  4  15.199  1998 2028 2145 VB 7   37443   2841638   0.41%   0.109%
  5  15.919  2175 2313 2327 BV 7   62089   3476161   0.50%   0.134%
 
  6  15.980  2327 2337 2464 VV 7   55845   5127862   0.73%   0.197%
  7  16.394  2464 2502 2523 VV 4   75828   3191814   0.46%   0.123%
  8  16.492  2523 2540 2556 VV 6  104328   3515806   0.50%   0.135%
  9  16.570  2556 2572 2641 VV 4  106695   4684330   0.67%   0.180%
 10  16.958  2711 2725 2761 VV 4   38103   2160851   0.31%   0.083%
 
 11  17.570  2924 2968 3031 VV 9  204802   8790221   1.26%   0.338%
 12  17.855  3063 3081 3097 VV 9   38225   1378397   0.20%   0.053%
 13  17.944  3097 3117 3157 VV 9   52830   3052973   0.44%   0.117%
 14  18.111  3157 3183 3217 VV 9   48461   3186433   0.46%   0.122%
 15  18.355  3254 3280 3304 VV 9   49037   2259621   0.32%   0.087%
 
 16  18.504  3304 3339 3352 VV 4  141998   4672441   0.67%   0.180%
 17  18.569  3352 3365 3424 VV 10  131546   6982580   1.00%   0.268%
 18  18.773  3424 3445 3457 VV 7   79019   2719585   0.39%   0.105%
 19  18.831  3457 3468 3514 VV 7   68958   4367062   0.62%   0.168%
 20  19.380  3667 3686 3711 VV 6   79494   2893682   0.41%   0.111%
 
 21  19.936  3866 3907 3977 VV    866950  24697025   3.53%   0.949%
 22  20.231  3977 4024 4035 VV     31904    937756   0.13%   0.036%
 23  20.307  4035 4054 4099 VV 10   80549   3297719   0.47%   0.127%
 24  20.572  4124 4159 4195 VV 10  114716   3747494   0.54%   0.144%
 25  20.731  4195 4222 4249 VV 6  142113   3826900   0.55%   0.147%
 
 26  22.088  4710 4760 4827 PV 4 2548473 101600406  14.53%   3.905%
 27  22.293  4827 4841 4920 VV 4   58665   3795664   0.54%   0.146%
 28  22.583  4920 4956 4998 VV 4  766125  30761816   4.40%   1.182%
 29  22.749  4998 5022 5105 VV 5  327654  12789311   1.83%   0.492%
 30  23.280  5167 5233 5333 BV 2 2386640  80877454  11.57%   3.109%
 
 31  23.937  5465 5493 5554 PV 5  515677  14982566   2.14%   0.576%
 32  25.155  5922 5977 6048 PV 3 16969328 577221379  82.55%  22.186%
 33  25.381  6048 6066 6096 VV 3   32046   1625951   0.23%   0.062%
 34  25.603  6096 6154 6176 VV 3   65767   3193384   0.46%   0.123%
 35  25.734  6176 6206 6228 VV 3   42401   1864323   0.27%   0.072%
 
 36  25.847  6228 6251 6273 VV 8  389152  10693252   1.53%   0.411%
 37  25.936  6273 6287 6355 VV 7   64007   2157379   0.31%   0.083%
 38  26.284  6386 6424 6453 VV 2 6516197 175190620  25.05%   6.734%
 39  26.392  6453 6467 6546 VV 2  206466   7466468   1.07%   0.287%
 40  26.890  6613 6665 6702 BV 7  816253  25408539   3.63%   0.977%
 
 41  27.044  6702 6726 6757 VV 10  164705   4467653   0.64%   0.172%
 42  27.391  6822 6864 6969 VV 3 8307843 231879489  33.16%   8.913%
 43  27.815  7009 7032 7055 BV 3   86737   2083467   0.30%   0.080%
 44  27.947  7055 7084 7096 PV 3  129282   3746714   0.54%   0.144%
 45  28.053  7096 7126 7164 VV 4 7491553 202343273  28.94%   7.777%
 
 46  28.213  7164 7190 7245 VV 4  330707  13218969   1.89%   0.508%
 47  28.414  7245 7269 7300 VV 7   95152   2704308   0.39%   0.104%
 48  28.793  7398 7420 7435 PV 7   36728   1014574   0.15%   0.039%
 49  29.013  7435 7507 7577 VV 3 19083375 699243260 100.00%  26.877%
 50  29.276  7577 7611 7799 VV 9  295105  33062222   4.73%   1.271%
 
 51  29.886  7825 7853 7867 VV 9   72205   2871831   0.41%   0.110%
 52  29.950  7867 7878 7952 VB 9   71811   2591050   0.37%   0.100%
 53  30.425  8045 8067 8095 VV 8  103954   2713295   0.39%   0.104%
 54  30.611  8095 8141 8174 VV 8   49848   2581523   0.37%   0.099%
 55  30.759  8174 8199 8272 VB 3   74223   2419636   0.35%   0.093%
 
 56  31.284  8368 8408 8488 PV 3   91227   3734197   0.53%   0.144%
 57  32.963  9002 9074 9215 VV 3   33175   3169179   0.45%   0.122%
 58  33.507  9254 9289 9352 VV 3   49049   2527396   0.36%   0.097%
 59  33.864  9401 9431 9469 VV    455763  14384951   2.06%   0.553%
 60  34.511  9558 9688 9751 BB     29763   1879367   0.27%   0.072%
 
 61  35.883  10124 10232 10334 BV 5   49324   3701492   0.53%   0.142%
 62  38.285  11054 11184 11490 BV 5   85294  28600452   4.09%   1.099%
 63  39.139  11490 11523 11640 VB 5   28631   3024689   0.43%   0.116%
 64  39.929  11805 11837 11890 VB 5   32320   1891887   0.27%   0.073%
 65  41.374  12220 12410 12613 BV 8  354536  57161010   8.17%   2.197%
 
 66  42.902  12813 13016 13429 BB 8  221671  40655708   5.81%   1.563%
 67  44.559  13616 13673 13796 VV 8   28212   2443957   0.35%   0.094%
 68  48.011  14762 15042 15082 VV 8  105273  25478875   3.64%   0.979%
 69  48.212  15082 15122 15149 VV 8  113425  10940076   1.56%   0.420%
 70  48.303  15149 15158 15538 VB 8  108119  22842220   3.27%   0.878%
 
 
 
                        Sum of corrected areas:  2601688689

HP-88-2022-METHOD_SUP37.M Wed Feb 22 17:40:39 2023   
